name,nombre,population,basin,area,dump,percapita2013,recolection,total2014,recover2014,rsuspending,percapitaspending,totalspending,rsutotalspending,DISTRITO,ceamse1996,ceamse1997,ceamse1998,ceamse1999,ceamse2000,ceamse2001,ceamse2002,ceamse2003,ceamse2004,ceamse2005,ceamse2006,ceamse2007,ceamse2008,ceamse2009,ceamse2010,ceamse2011,ceamse2012,ceamse2013
D089,Pilar,299077,Luján,352,CEAMSE Norte III,0.1274,0,0,0.000,82646000,242.71,553768000,0.1492,PILAR,21962.1,28883.7,34388.7,36986.2,40909.3,43403.9,33301.9,32698.8,36588.1,39666,43064.2,43756,43984.1,46894.27,51269.7,55116.14,56510.68,38092.275
D128,Presidente Perón,81141,Matanza-Riachuelo,121,CEAMSE Norte III,0.1739,0,0,0.000,10776000,179.03,126368000,0.0853,PRESIDENTE PERÓN,5033.2,5857.5,7202.4,8236.8,8615.3,9215.2,7254.2,7125,8023.8,8719.9,9344.1,9914,10756.7,11599.86,12473.7,13879.94,14151.22,14110.74
D092,Quilmes,582943,Del Plata ,125,CEAMSE Norte III,0.2062,0,0,0.000,89533000,153.59,828474000,0.1081,QUILMES,106537.6,110269.9,127912.9,134936.7,132512.4,130227.9,106683.8,100846.8,103076.2,114928.6,124971.4,127402.8,125114,132182.87,132296.16,135366.63,133578.618,120216.345
D105,San Fernando,163240,Reconquista,924,CEAMSE Norte III,0.3272,0,0,0.000,40493000,247.72,268637000,0.1507,SAN FERNANDO,45913.7,54365.2,60798,57860.2,53779.8,54011.7,41831.8,39673.4,46517.4,44678.2,51716.2,56489.9,51313.8,52993.7,47160.84,49734.64,56160.83,53404.56
D195,San Fernando,163240,Reconquista,924,CEAMSE Norte III,0.3272,0,0,0.000,40493000,247.72,268637000,0.1507,SAN FERNANDO,45913.7,54365.2,60798,57860.2,53779.8,54011.7,41831.8,39673.4,46517.4,44678.2,51716.2,56489.9,51313.8,52993.7,47160.84,49734.64,56160.83,53404.56
D106,San Isidro,292878,Reconquista,51,CEAMSE Norte III,0.6769,30,16098,0.002,143043000,490.53,902720000,0.1585,SAN ISIDRO,167829,178623.3,194471.9,192577.7,182379.3,178813.7,150308.4,148104.3,156776.4,166197.7,171848,178760.5,177758.3,184607.92,206926.08,204097.49,206954.68,198236.97
D053,San Miguel,276190,Reconquista,82,CEAMSE Norte III,0.2829,45,7739,0.006,59242000,203.11,432299000,0.137,SAN MIGUEL,55442.4,61138.3,64208.7,64975.6,64487.8,68715.3,55359,54912.6,58013.9,61552.1,66952.7,64120,65066,70001.29,74761.78,76616.58,78735.02,78138.75
D109,San Vicente,59478,Matanza-Riachuelo,666,Basurero municipal,0,0,0,0.000,136730000,359.15,966144000,0.1415,,,,,,,,,,,,,,,,,,,
D113,Tigre,376381,Reconquista/Luján,368,CEAMSE Norte III,0.3507,0,0,0.000,99127000,288.35,502074000,0.1974,TIGRE,77671.2,82697.6,96389.2,103855.2,106391.2,113131.1,101678.9,95728.3,100614.4,113749.9,107954.1,114216,121914.2,133021.38,146288.92,144725.18,140994.1,131993.01
D118,Tres de febrero,340071,Reconquista,39,CEAMSE Norte III,0.4231,0,0,0.000,103949000,385.83,749888000,0.1386,TRES DE FEBRERO,129286.1,136037.1,145857.3,150019.8,150320.6,149649.9,119832.1,118376.4,122389.1,131191.9,136825.2,141181.6,136433.8,143094.84,144559.47,147459.93,144199.95,143877.42
D122,Vicente López,269420,Reconquista,33,CEAMSE Norte III,0.5084,0,0,0.000,15689000,137.3,192750000,0.0814,VICENTE LÓPEZ,165625,164819.8,167008.3,145024.3,137524.9,138612,112926.6,115766.2,119671.3,126670.5,136900.1,138331.1,143756.7,142083.73,154805.08,150860.88,146318.73,136973.07
D125,Zárate,114269,Areco,1202,Basurero municipal,0,0,0,0.000,0,0,0,0,,,,,,,,,,,,,,,,,,,
